Date,SKU,Group,Units Pkg,Avg Price Pkg,Sales Pkg,Turnover per month,Avg Price Pkg binned,Sales Pkg binned,Low avg price,Medium avg price,High avg price
2018-09-01,SKU_20,F,7,13,10,130,Medium,Low,0,1,0
2018-09-01,SKU_21,F,6,12,135,1620,Medium,Low,0,1,0
2018-09-01,SKU_22,F,7,13,23,299,Medium,Low,0,1,0
2018-09-01,SKU_83,F,6,13,147,1911,Medium,Low,0,1,0
2018-09-01,SKU_77,F,6,13,322,4186,Medium,Low,0,1,0
2018-09-01,SKU_26,H,5,8,159,1272,Low,Low,1,0,0
2018-09-01,SKU_27,I,5,5,479,2395,Low,Low,1,0,0
2018-09-01,SKU_28,I,15,3,25,75,Low,Low,1,0,0
2018-09-01,SKU_29,I,5,8,77,616,Low,Low,1,0,0
2018-09-01,SKU_30,I,5,4,226,904,Low,Low,1,0,0
2018-09-01,SKU_31,I,10,3,38,114,Low,Low,1,0,0
2018-09-01,SKU_32,I,4,6,363,2178,Low,Low,1,0,0
2018-09-01,SKU_33,G,8,15,11,165,Medium,Low,0,1,0
2018-09-01,SKU_34,G,4,7,170,1190,Low,Low,1,0,0
2018-09-01,SKU_35,G,4,7,170,1190,Low,Low,1,0,0
2018-09-01,SKU_36,J,4,11,160,1760,Medium,Low,0,1,0
2018-09-01,SKU_37,J,4,10,458,4580,Low,Low,1,0,0
2018-09-01,SKU_84,J,5,11,150,1650,Medium,Low,0,1,0
2018-09-01,SKU_85,J,5,11,105,1155,Medium,Low,0,1,0
2018-09-01,SKU_39,J,4,11,269,2959,Medium,Low,0,1,0
2018-09-01,SKU_40,J,4,10,699,6990,Low,Low,1,0,0
2018-09-01,SKU_41,J,6,11,266,2926,Medium,Low,0,1,0
2018-09-01,SKU_44,J,5,10,201,2010,Low,Low,1,0,0
2018-09-01,SKU_86,J,4,10,16,160,Low,Low,1,0,0
2018-09-01,SKU_87,J,6,11,132,1452,Medium,Low,0,1,0
2018-09-01,SKU_78,J,6,11,600,6600,Medium,Low,0,1,0
2018-09-01,SKU_46,K,5,9,376,3384,Low,Low,1,0,0
2018-09-01,SKU_66,K,6,8,68,544,Low,Low,1,0,0
2018-09-01,SKU_47,K,5,9,303,2727,Low,Low,1,0,0
2018-09-01,SKU_67,K,6,8,87,696,Low,Low,1,0,0
2018-09-01,SKU_88,K,5,10,490,4900,Low,Low,1,0,0
2018-09-01,SKU_89,K,5,10,265,2650,Low,Low,1,0,0
2018-09-01,SKU_90,K,2,4,13,52,Low,Low,1,0,0
2018-09-01,SKU_48,L,40,9,87,783,Low,Low,1,0,0
2018-09-01,SKU_68,M,40,8,15,120,Low,Low,1,0,0
2018-09-01,SKU_65,M,80,11,58,638,Medium,Low,0,1,0
2018-09-01,SKU_51,N,100,6,956,5736,Low,Low,1,0,0
2018-09-01,SKU_52,N,100,5,486,2430,Low,Low,1,0,0
2018-09-01,SKU_55,N,50,3,166,498,Low,Low,1,0,0
